Kuala Lumpur,Kuala Lumpur,50000,3.1433,101.6955
Kuala Lumpur,Kuala Lumpur,50050,3.1451,101.6945
Kuala Lumpur,Kuala Lumpur,50088,3.1479,101.7008
Kuala Lumpur,Kuala Lumpur,50100,3.1513,101.6947
Kuala Lumpur,Kuala Lumpur,50150,3.1406,101.6955
Kuala Lumpur,Kuala Lumpur,50200,3.1447,101.7007
Kuala Lumpur,Kuala Lumpur,50250,3.1447,101.6951
Kuala Lumpur,Kuala Lumpur,50300,3.1841,101.6911
Kuala Lumpur,Kuala Lumpur,50350,3.1512,101.6956
Kuala Lumpur,Kuala Lumpur,50400,3.149,101.697
Kuala Lumpur,Kuala Lumpur,50450,3.1512,101.7091
Kuala Lumpur,Kuala Lumpur,50460,3.1365,101.6941
Kuala Lumpur,Kuala Lumpur,50470,3.134,101.6873
Kuala Lumpur,Kuala Lumpur,50480,3.163,101.6753
Kuala Lumpur,Kuala Lumpur,50490,3.1466,101.6673
Kuala Lumpur,Kuala Lumpur,50500,3.1325,101.6957
Kuala Lumpur,Kuala Lumpur,50502,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50504,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50505,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50506,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50507,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50508,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50512,3.1503,101.6924
Kuala Lumpur,Kuala Lumpur,50514,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50515,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50519,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50528,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50529,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50530,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50532,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50534,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50536,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50540,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50544,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50546,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50548,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50550,3.1466,101.6636
Kuala Lumpur,Kuala Lumpur,50551,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50552,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50554,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50556,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50560,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50562,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50564,3.1078,101.7282
Kuala Lumpur,Kuala Lumpur,50566,3.138,101.6867
Kuala Lumpur,Kuala Lumpur,50568,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50572,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50576,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50578,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50580,3.155,101.6888
Kuala Lumpur,Kuala Lumpur,50582,3.1374,101.6889
Kuala Lumpur,Kuala Lumpur,50586,3.1698,101.7026
Kuala Lumpur,Kuala Lumpur,50588,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50590,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50592,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50594,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50596,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50598,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50599,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50600,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50603,3.1249,101.6528
Kuala Lumpur,Kuala Lumpur,50604,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50605,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50608,3.1465,101.6636
Kuala Lumpur,Kuala Lumpur,50609,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50610,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50612,3.1683,101.7118
Kuala Lumpur,Kuala Lumpur,50614,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50620,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50621,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50622,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50623,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50626,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50632,3.139,101.6869
Kuala Lumpur,Kuala Lumpur,50634,3.1488,101.6952
